ngram;count;freq_per_100_n-gramms
jälle otsus nurm;2;0.0039
kand välja rebima;2;0.0039
rääkima see lood;2;0.0039
90 viies aasta;2;0.0039
täpselt sama küsimus;2;0.0039
saade olema tähtsam;2;0.0039
tähtsam kui loodus;2;0.0039
käima ikka korralik;2;0.0039
viimane kaks tund;2;0.0039
hästi palju kannatama;2;0.0039
arvama vanarahvas mõtlema;2;0.0039
töö ja nägema;2;0.0039
and so kidis;2;0.0039
rääkima kui tahtma;2;0.0039
mikrofon olema käsi;2;0.0039
suhtlema see inimene;2;0.0039
vasakul ja paremal;2;0.0039
panema ööklubi kinni;2;0.0039
ööklubi ja ütlema;2;0.0039
töötama see nimel;2;0.0039
tahtma ikkagi ütlema;2;0.0039
mees kes ütlema;2;0.0039
ütlema väga hea;2;0.0039
jumal hea meel;2;0.0039
vaatama mis toimuma;2;0.0039
panema sama päev;2;0.0039
käima kogu aeg;2;0.0039
andma läbi rääkima;2;0.0039
ütlema väike linn;2;0.0039
küsima tema käsi;2;0.0039
kuu mõni käima;2;0.0039
jääma mina uskuma;2;0.0039
lihtsalt niisugune väike;2;0.0039
teadma mina näide;2;0.0039
tahtma sina käsi;2;0.0039
terve see aeg;2;0.0039
ühesõnaga see mõte;2;0.0039
hetk nagu tekkima;2;0.0039
teadma kus koht;2;0.0039
ütlema see kriis;2;0.0039
teema see mõte;2;0.0039
vaatama mis asi;2;0.0039
no mina tegelikult;2;0.0039
ajama see asi;2;0.0039
tegelikult mina tahtma;2;0.0039
kord mina ütlema;2;0.0039
võimalik mina teadma;2;0.0039
rehepapi kui raamat;2;0.0039
vaatama ja no;2;0.0039
osa mina arust;2;0.0039
näitleja siin film;2;0.0039
põhimõtteliselt see viimane;2;0.0039
laskma see asi;2;0.0039
jeesus ihu nii-öelda;2;0.0039
lihtsalt ei panema;2;0.0039
lihtsalt see viis;2;0.0039
meeldima see film;2;0.0039
vaatama mina meeldima;2;0.0039
kolm aasta hiljem;2;0.0039
hetk mina tahtma;2;0.0039
film mis eesti;2;0.0039
ütlema et tegelikult;2;0.0039
tundunud nii pikk;2;0.0039
pikk ei tundunud;2;0.0039
päev mis ajama;2;0.0039
tund aeg sügispall;2;0.0039
nutma kandma hool;2;0.0039
soovima uus aasta;2;0.0039
aasta sportlane valimine;2;0.0039
noor reporter märt;2;0.0039
reporter märt roosna;2;0.0039
esimene jaanuar saade;2;0.0039
aasta saama käima;2;0.0039
eesti jah täpselt;2;0.0039
jääma see nädal;2;0.0039
nimi ei mäletama;2;0.0039
sõna see teema;2;0.0039
15 20 aasta;2;0.0039
ott tänak maailmameister;2;0.0039
vaatama see mäng;2;0.0039
täna ühine mäng;2;0.0039
eesti legendaarne sportlane;2;0.0039
vana aasta lõpp;2;0.0039
lõpp ja uus;2;0.0039
uus aasta algus;2;0.0039
punkt saama jaan;2;0.0039
jaan oma jaht;2;0.0039
tänak ja martin;2;0.0039
punkt saama peep;2;0.0039
peep oma eiga;2;0.0039
küsimus kas jüri;2;0.0039
eesti korvpallikoondis jõudma;2;0.0039
korvpallikoondis jõudma em-finaalturniir;2;0.0039
küsimus kas kelly;2;0.0039
anett kontaveit jõudma;2;0.0039
kontaveit jõudma suur;2;0.0039
suur slam turniir;2;0.0039
pime kana leidma;2;0.0039
leidma ka tera;2;0.0039
kartma et äkki;2;0.0039
küsimus olema tegelikult;2;0.0039
ütlema et jõudma;2;0.0039
jõudma mina arvama;2;0.0039
õige ja vastama;2;0.0039
uskuma heiki nab;2;0.0039
käsi olema jõudma;2;0.0039
kuulama üks lugu;2;0.0039
lugu ei mängima;2;0.0039
viis vana kool;2;0.0039
vana kool tahvel;2;0.0039
