lemma;raw_count;freq_per_100_lemmas
karjuma;27;0.138
lõikama;27;0.138
usa;27;0.138
kuju;27;0.138
täielik;27;0.138
programm;27;0.138
koondis;27;0.138
oskus;27;0.138
tuttav;27;0.138
stress;27;0.138
pärit;27;0.138
fakt;27;0.138
poodkast;27;0.138
lind;27;0.138
mikrobioom;27;0.138
tegu;26;0.133
millegipärast;26;0.133
valu;26;0.133
hoog;26;0.133
viljandi;26;0.133
ga;26;0.133
kõvem;26;0.133
kraam;26;0.133
uuring;26;0.133
kõrgem;26;0.133
selgelt;26;0.133
punt;26;0.133
pärima;26;0.133
kiiremini;26;0.133
staar;26;0.133
kast;26;0.133
räigelt;26;0.133
väljakutse;26;0.133
kaader;26;0.133
karl;25;0.128
keerulisem;25;0.128
teenima;25;0.128
sügis;25;0.128
õpetaja;25;0.128
tuli;25;0.128
firma;25;0.128
eriline;25;0.128
moment;25;0.128
täitma;25;0.128
meenutama;25;0.128
ratas;25;0.128
tellima;25;0.128
kurss;25;0.128
rida;25;0.128
paraku;25;0.128
nõudma;25;0.128
õhk;25;0.128
loogiline;25;0.128
trenn;25;0.128
eksole;25;0.128
alaliit;25;0.128
sündmus;25;0.128
meeter;25;0.128
lausa;25;0.128
liige;25;0.128
kuuluma;25;0.128
määr;25;0.128
ärkama;25;0.128
teadlikult;25;0.128
platvorm;25;0.128
meister;25;0.128
teinekord;25;0.128
mõjuma;25;0.128
politsei;25;0.128
müür;25;0.128
duubel;25;0.128
kaunis;25;0.128
malev;25;0.128
lõhn;25;0.128
tõsi;24;0.123
õpetama;24;0.123
stsenaarium;24;0.123
produtsent;24;0.123
hullem;24;0.123
90;24;0.123
maks;24;0.123
vabandus;24;0.123
summa;24;0.123
üleüldse;24;0.123
surnud;24;0.123
võti;24;0.123
tohutult;24;0.123
popmuusika;24;0.123
mainstream;24;0.123
segane;24;0.123
üllatus;24;0.123
jaanuar;24;0.123
kamp;24;0.123
mõistlik;24;0.123
super;24;0.123
füüsiline;24;0.123
pruukima;24;0.123
areng;24;0.123
venemaa;24;0.123
kaart;24;0.123
reaalne;24;0.123
õnnestuma;24;0.123
tänama;24;0.123
nõudlus;24;0.123
vaade;24;0.123
vajadus;24;0.123
tihtipeale;24;0.123
kontrollima;24;0.123
pilk;24;0.123
fookus;24;0.123
sekund;24;0.123
kalle;24;0.123
lend;23;0.118
unistus;23;0.118
rahulikult;23;0.118
ajakiri;23;0.118
delfi;23;0.118
kuld;23;0.118
ennustus;23;0.118
kiirem;23;0.118
se;23;0.118
võrdlus;23;0.118
väärtus;23;0.118
legendaarne;23;0.118
langema;23;0.118
tabama;23;0.118
kuulus;23;0.118
õnnelik;23;0.118
vajuma;23;0.118
tehnika;23;0.118
peksma;23;0.118
kanal;23;0.118
äri;23;0.118
versioon;23;0.118
paratamatult;23;0.118
põlema;23;0.118
klaas;23;0.118
hingama;23;0.118
sinine;23;0.118
apple;23;0.118
hiina;23;0.118
nõustuma;23;0.118
täielikult;23;0.118
poeg;23;0.118
sven;23;0.118
probiootikum;23;0.118
lehm;22;0.113
gümnaasium;22;0.113
olenema;22;0.113
jalutama;22;0.113
muretsema;22;0.113
tehnikaülikool;22;0.113
haigla;22;0.113
suunama;22;0.113
13;22;0.113
tunnistama;22;0.113
arv;22;0.113
koosseis;22;0.113
estonia;22;0.113
jüri;22;0.113
nina;22;0.113
40;22;0.113
hulk;22;0.113
poolfinaal;22;0.113
püsima;22;0.113
tingimus;22;0.113
alkohol;22;0.113
puuduma;22;0.113
ühine;22;0.113
avaldama;22;0.113
tugevalt;22;0.113
materjal;22;0.113
ainus;22;0.113
esinema;22;0.113
tarbima;22;0.113
särk;22;0.113
tänaseks;22;0.113
otse;22;0.113
aine;22;0.113
räppima;22;0.113
üürnik;22;0.113
õppimine;21;0.107
juhtum;21;0.107
grupp;21;0.107
naerma;21;0.107
eeter;21;0.107
olemine;21;0.107
tasu;21;0.107
lumi;21;0.107
tervislik;21;0.107
hunt;21;0.107
laiali;21;0.107
jupp;21;0.107
hall;21;0.107
spotify;21;0.107
arendama;21;0.107
klassikaline;21;0.107
vastavalt;21;0.107
etapp;21;0.107
ilm;21;0.107
karjäär;21;0.107
konkurents;21;0.107
publik;21;0.107
valimine;21;0.107
kontekst;21;0.107
ühte;21;0.107
ilmuma;21;0.107
maitse;21;0.107
muss;21;0.107
sotsiaalmeedia;21;0.107
keskenduma;21;0.107
punane;21;0.107
kasulik;21;0.107
põhiline;21;0.107
tõestama;21;0.107
rõõm;21;0.107
raud;21;0.107
inspiratsioon;21;0.107
pakk;21;0.107
sari;21;0.107
tähele;21;0.107
eestikeelne;21;0.107
jõhker;21;0.107
dj;21;0.107
planeet;21;0.107
vanaema;20;0.102
usaldama;20;0.102
tuhat;20;0.102
puudus;20;0.102
targem;20;0.102
rahul;20;0.102
liikumine;20;0.102
60;20;0.102
instagram;20;0.102
räppar;20;0.102
vabandama;20;0.102
arenema;20;0.102
