lemma;raw_count;freq_per_100_lemmas
julgus;14;0.107
motiveerima;14;0.107
lühidalt;14;0.107
igapäevaelu;14;0.107
noorsootöökeskus;14;0.107
suhtlus;14;0.107
kaugele;14;0.107
kivi;14;0.107
saksa;14;0.107
omanik;14;0.107
hindaja;14;0.107
ettevõtlus;14;0.107
väikelinn;14;0.107
mihkel;14;0.107
puuduma;14;0.107
loits;14;0.107
vägi;14;0.107
intress;14;0.107
käigus;13;0.099
söök;13;0.099
imeline;13;0.099
rituaal;13;0.099
kaebus;13;0.099
ime;13;0.099
normaalne;13;0.099
valgus;13;0.099
vastavalt;13;0.099
tõsiselt;13;0.099
valmistuma;13;0.099
nõustamine;13;0.099
nõrgem;13;0.099
mõiste;13;0.099
läbima;13;0.099
unenägu;13;0.099
lendama;13;0.099
taotlus;13;0.099
hobune;13;0.099
sugu;13;0.099
rahul;13;0.099
poiss;13;0.099
selgus;13;0.099
teisiti;13;0.099
lennuk;13;0.099
neljapäev;13;0.099
neljas;13;0.099
uusarendus;13;0.099
põlvkond;13;0.099
taas;13;0.099
se;13;0.099
nüanss;13;0.099
nõustuma;13;0.099
valitud;13;0.099
prioriteet;13;0.099
osutuma;13;0.099
vähegi;13;0.099
takistama;13;0.099
surve;13;0.099
panus;13;0.099
toetamine;13;0.099
toode;13;0.099
kannatama;13;0.099
levinud;13;0.099
täpne;13;0.099
kohv;13;0.099
vaidlema;13;0.099
lähtuma;13;0.099
doos;13;0.099
vaktsiin;13;0.099
segadus;13;0.099
kohapeal;13;0.099
tavapärane;13;0.099
niikuinii;13;0.099
niiviisi;13;0.099
reageerima;13;0.099
avalikult;13;0.099
suurus;13;0.099
portfell;13;0.099
värk;13;0.099
ettepanek;13;0.099
puhastama;13;0.099
kõigest;13;0.099
läbirääkimine;13;0.099
sassi;13;0.099
seisukord;13;0.099
esivanem;13;0.099
naaber;13;0.099
alustaja;13;0.099
töötuba;13;0.099
email;13;0.099
maakleritöö;13;0.099
arendaja;13;0.099
vabanema;13;0.099
lõuna;13;0.099
