ngram;count;freq_per_60_min
olema aus;21;0.4864
ott tänak;21;0.4864
ei huvitama;21;0.4864
olema tore;21;0.4864
et asi;21;0.4864
tema vaatama;21;0.4864
siis panema;21;0.4864
hea asi;21;0.4864
mingi uus;21;0.4864
olema äkki;21;0.4864
jah täpselt;21;0.4864
kolm aasta;21;0.4864
ja täna;20;0.4632
olema ilmselt;20;0.4632
mis inimene;20;0.4632
nii hästi;20;0.4632
10 aasta;20;0.4632
olema kolm;20;0.4632
et nägema;20;0.4632
olema äge;20;0.4632
ja mõtlema;20;0.4632
kuu aeg;20;0.4632
hästi huvitav;20;0.4632
mingi lugu;20;0.4632
mina leidma;20;0.4632
väga raske;20;0.4632
ei nutma;20;0.4632
see näitama;20;0.4632
mina kartma;20;0.4632
olema probleem;20;0.4632
sina kuulama;20;0.4632
mina tooma;20;0.4632
mingi määr;20;0.4632
tahtma rääkima;20;0.4632
see idee;20;0.4632
siis mõtlema;20;0.4632
olema onju;20;0.4632
ei tähendama;20;0.4632
see video;20;0.4632
kõik inimene;19;0.4401
see tekitama;19;0.4401
suur osa;19;0.4401
olema kodu;19;0.4401
et tahtma;19;0.4401
õige aeg;19;0.4401
iga asi;19;0.4401
oma aeg;19;0.4401
tulema meel;19;0.4401
saama rääkima;19;0.4401
iga inimene;19;0.4401
mis juhtuma;19;0.4401
see sõna;19;0.4401
olema küsimus;19;0.4401
ja kindlasti;19;0.4401
väga tore;19;0.4401
üks küsimus;19;0.4401
läbi aeg;19;0.4401
hea tunne;19;0.4401
olema aasta;19;0.4401
sina üldse;19;0.4401
tema panema;19;0.4401
välja nägema;19;0.4401
nagu nägema;19;0.4401
siis andma;19;0.4401
ei soovima;19;0.4401
selline inimene;19;0.4401
päris suur;19;0.4401
selline tunne;19;0.4401
oma asi;19;0.4401
see aru;19;0.4401
nagu esimene;19;0.4401
ja värk;19;0.4401
väga ilus;19;0.4401
täna rääkima;18;0.4169
ei juhtuma;18;0.4169
väga äge;18;0.4169
see kindlasti;18;0.4169
mina mängima;18;0.4169
et rääkima;18;0.4169
üks kord;18;0.4169
mis tegelikult;18;0.4169
sina küsima;18;0.4169
eesti räpp;18;0.4169
jah no;18;0.4169
õige asi;18;0.4169
et panema;18;0.4169
mina pakkuma;18;0.4169
nagu suur;18;0.4169
oma mõte;18;0.4169
tulema lihtsalt;18;0.4169
tema võtma;18;0.4169
kas eesti;18;0.4169
olema natukene;18;0.4169
nagu eesti;18;0.4169
olema oluline;18;0.4169
mina aru;18;0.4169
et hea;18;0.4169
siis lihtsalt;18;0.4169
tükk aeg;18;0.4169
ja andma;18;0.4169
see töötama;18;0.4169
väga põnev;18;0.4169
eelmine saade;18;0.4169
ja põhimõtteliselt;18;0.4169
ja tahtma;17;0.3937
viis aasta;17;0.3937
see jääma;17;0.3937
maha võtma;17;0.3937
ja eesti;17;0.3937
see üldse;17;0.3937
ei võitma;17;0.3937
see kolm;17;0.3937
siis inimene;17;0.3937
ei kuulama;17;0.3937
see tase;17;0.3937
see hooaeg;17;0.3937
saama lihtsalt;17;0.3937
olema näiteks;17;0.3937
olema ilus;17;0.3937
pikk aeg;17;0.3937
ei kuulma;17;0.3937
