ngram;count;freq_per_1000_n-gramms
olema väga-väga;15;0.1098
nagu üldse;15;0.1098
üks koht;15;0.1098
see juhtuma;15;0.1098
okei no;15;0.1098
olema teadma;15;0.1098
viimane aasta;15;0.1098
see põhjus;15;0.1098
ja kuulma;15;0.1098
tegema no;15;0.1098
olema vana;15;0.1098
sina meeldima;15;0.1098
mina kirjutama;15;0.1098
uus lugu;15;0.1098
see kuulama;15;0.1098
issand jumal;15;0.1098
olema kuulama;15;0.1098
see no;15;0.1098
ei töötama;15;0.1098
nagu rääkima;15;0.1098
mina ootama;15;0.1098
ja laskma;15;0.1098
välja mõtlema;15;0.1098
mina sööma;15;0.1098
olema armastus;15;0.1098
olema käsi;14;0.1024
ei muutuma;14;0.1024
hea sõber;14;0.1024
tema nimi;14;0.1024
see tee;14;0.1024
selline teema;14;0.1024
praegune hetk;14;0.1024
tänane päev;14;0.1024
üks suur;14;0.1024
väga tähtis;14;0.1024
nagu uus;14;0.1024
saama vaatama;14;0.1024
olema täielik;14;0.1024
olema normaalne;14;0.1024
seal käima;14;0.1024
kaks null;14;0.1024
teine külg;14;0.1024
see näide;14;0.1024
mina üldse;14;0.1024
ja nägema;14;0.1024
olema panema;14;0.1024
nii hea;14;0.1024
olema maailm;14;0.1024
see muutma;14;0.1024
ei laskma;14;0.1024
müts maha;14;0.1024
tegema töö;14;0.1024
nagu andma;14;0.1024
lihtsalt ütlema;14;0.1024
ka hästi;14;0.1024
see tüüp;14;0.1024
kui näide;14;0.1024
hästi suur;14;0.1024
see lood;14;0.1024
ja proovima;14;0.1024
20 aasta;14;0.1024
asi käima;14;0.1024
palju erinev;14;0.1024
mis eesti;14;0.1024
see info;14;0.1024
mõni aeg;14;0.1024
mina keha;14;0.1024
enamus inimene;14;0.1024
olema selge;14;0.1024
see üritus;14;0.1024
mina inimene;14;0.1024
olema kurat;14;0.1024
teine kord;14;0.1024
asi vaatama;14;0.1024
minema vaatama;14;0.1024
kõik teadma;14;0.1024
olema naljakas;14;0.1024
mis lugu;14;0.1024
ja uus;14;0.1024
elu jääma;14;0.1024
tänane saade;14;0.1024
halb tunne;14;0.1024
tema elu;13;0.0951
mis rääkima;13;0.0951
siis kaks;13;0.0951
mina meel;13;0.0951
mina sõber;13;0.0951
see noor;13;0.0951
oma töö;13;0.0951
mingi põhjus;13;0.0951
nii väike;13;0.0951
ise mõtlema;13;0.0951
siis no;13;0.0951
olema varem;13;0.0951
olema vahe;13;0.0951
nüüd ütlema;13;0.0951
hea mõte;13;0.0951
ära võtma;13;0.0951
inimene ütlema;13;0.0951
see täpselt;13;0.0951
mingi inimene;13;0.0951
mina oskama;13;0.0951
mina hea;13;0.0951
just täpselt;13;0.0951
mk etapp;13;0.0951
siis lõpuks;13;0.0951
see kogemus;13;0.0951
võima juhtuma;13;0.0951
see võimalik;13;0.0951
vastu võtma;13;0.0951
tiim estonia;13;0.0951
antud juht;13;0.0951
olema algus;13;0.0951
aasta algus;13;0.0951
kui kaua;13;0.0951
mina isiklikult;13;0.0951
küsimus number;13;0.0951
olema andma;13;0.0951
lihtsalt tahtma;13;0.0951
olema piisavalt;13;0.0951
keegi ütlema;13;0.0951
välja ütlema;13;0.0951
sina lugu;13;0.0951
kes kuulama;13;0.0951
päris huvitav;13;0.0951
see protsess;13;0.0951
enne rääkima;13;0.0951
nagu aru;13;0.0951
kes teadma;13;0.0951
tema mängima;13;0.0951
olema harjuma;13;0.0951
järgmine samm;13;0.0951
olema positiivne;13;0.0951
kus inimene;13;0.0951
et elu;13;0.0951
tema arvama;13;0.0951
mingi probleem;13;0.0951
praegu vaatama;13;0.0951
tema andma;13;0.0951
see formaat;13;0.0951
eelmine kord;13;0.0951
see päev;13;0.0951
kui vaatama;13;0.0951
ei tekkima;13;0.0951
100 protsent;13;0.0951
see laul;13;0.0951
niisugune tunne;13;0.0951
lihtsalt vaatama;13;0.0951
ja lugu;13;0.0951
mina otsima;13;0.0951
ei magama;13;0.0951
ära lõpetama;13;0.0951
hea aeg;13;0.0951
päikseline päev;13;0.0951
tema meeldima;12;0.0878
ja hea;12;0.0878
ju käima;12;0.0878
olema osa;12;0.0878
ja huvitav;12;0.0878
olema ainuke;12;0.0878
mingi viis;12;0.0878
nagu veits;12;0.0878
tema jääma;12;0.0878
inimene tahtma;12;0.0878
sina elama;12;0.0878
mina ema;12;0.0878
mina natuke;12;0.0878
sama teema;12;0.0878
et kindlasti;12;0.0878
see suund;12;0.0878
olema vale;12;0.0878
olema võimalus;12;0.0878
mis mõte;12;0.0878
sina lugema;12;0.0878
see emotsioon;12;0.0878
see naine;12;0.0878
selline olukord;12;0.0878
ott tänaku;12;0.0878
järgmine kord;12;0.0878
et näiteks;12;0.0878
nagu kaks;12;0.0878
mina toon;12;0.0878
suur asi;12;0.0878
väga õige;12;0.0878
saama algus;12;0.0878
lihtsalt võtma;12;0.0878
kaks asi;12;0.0878
aga okei;12;0.0878
kaks kord;12;0.0878
ju ütlema;12;0.0878
see teadmine;12;0.0878
ja absoluutselt;12;0.0878
või tähendama;12;0.0878
tema valima;12;0.0878
nagu muusika;12;0.0878
mina saatma;12;0.0878
nii kaugele;12;0.0878
välja andma;12;0.0878
seesama asi;12;0.0878
ka teadma;12;0.0878
olema jube;12;0.0878
olema mees;12;0.0878
mis tahtma;12;0.0878
tema mõtlema;12;0.0878
tema elama;12;0.0878
nagu panema;12;0.0878
see point;12;0.0878
nagu mõtlema;12;0.0878
mina eeldama;12;0.0878
minema lihtsalt;12;0.0878
see mõtlema;12;0.0878
nagu jääma;12;0.0878
olema leidma;12;0.0878
see erinev;12;0.0878
olema kiri;12;0.0878
ka kuulma;12;0.0878
mina näiteks;12;0.0878
nagu algus;12;0.0878
kuidas asi;12;0.0878
või võtma;12;0.0878
tema teadma;12;0.0878
lame maa;12;0.0878
see koroona;12;0.0878
mingi vana;12;0.0878
siin viimane;12;0.0878
mina nimi;12;0.0878
kaks lugu;12;0.0878
see toimuma;12;0.0878
kollane meedia;12;0.0878
kokku võtma;12;0.0878
see kõne;12;0.0878
see natuke;12;0.0878
olema võitma;12;0.0878
ja ootama;12;0.0878
ja üritama;12;0.0878
paar aasta;12;0.0878
olema naine;12;0.0878
juba ütlema;12;0.0878
mina liikuma;12;0.0878
selline suur;12;0.0878
kohalik omavalitsus;12;0.0878
see kool;11;0.0805
mina armastama;11;0.0805
käsi jõudma;11;0.0805
võib-olla natuke;11;0.0805
ära käima;11;0.0805
läbi käima;11;0.0805
ja üldse;11;0.0805
teine koht;11;0.0805
mina tegelema;11;0.0805
ei tunduma;11;0.0805
mina soovitama;11;0.0805
olema veits;11;0.0805
olema päev;11;0.0805
mingi osa;11;0.0805
ei aitama;11;0.0805
viis miinus;11;0.0805
hakkama rääkima;11;0.0805
sina käima;11;0.0805
kristjan ilves;11;0.0805
just mõtlema;11;0.0805
olema tähtis;11;0.0805
siin ütlema;11;0.0805
olema küllaltki;11;0.0805
või kaks;11;0.0805
äge asi;11;0.0805
palju ütlema;11;0.0805
nüüd viimane;11;0.0805
see vahe;11;0.0805
asi tegelikult;11;0.0805
õige vastus;11;0.0805
et mees;11;0.0805
rääkima eesti;11;0.0805
teadma no;11;0.0805
aasta hiljem;11;0.0805
ikkagi ütlema;11;0.0805
kuidas ütlema;11;0.0805
hakkama vaatama;11;0.0805
tegelikult ütlema;11;0.0805
see kriis;11;0.0805
ise arvama;11;0.0805
ja esimene;11;0.0805
15 aasta;11;0.0805
tegema lihtsalt;11;0.0805
et põhimõtteliselt;11;0.0805
noh nii-öelda;11;0.0805
tema kirjutama;11;0.0805
olema endiselt;11;0.0805
see konkreetne;11;0.0805
ka näide;11;0.0805
tahtma lihtsalt;11;0.0805
siis põhimõtteliselt;11;0.0805
see nimel;11;0.0805
tegema vaatama;11;0.0805
olema raha;11;0.0805
sina leidma;11;0.0805
aga inimene;11;0.0805
et jääma;11;0.0805
tema kuulama;11;0.0805
see auto;11;0.0805
julgema ütlema;11;0.0805
see parem;11;0.0805
siis teadma;11;0.0805
tema tooma;11;0.0805
see seltskond;11;0.0805
siis esimene;11;0.0805
tema kasutama;11;0.0805
vaid lihtsalt;11;0.0805
tema küsima;11;0.0805
mina mainima;11;0.0805
nädal aeg;11;0.0805
selline väike;11;0.0805
nüüd vaatama;11;0.0805
vaatama tegelikult;11;0.0805
tegelikult tahtma;11;0.0805
no lihtsalt;11;0.0805
see väike;11;0.0805
mingisugune asi;11;0.0805
euroopa meistrivõistlus;11;0.0805
tekkima küsimus;11;0.0805
ise ütlema;11;0.0805
mina laskma;11;0.0805
ära ütlema;11;0.0805
panema kinni;11;0.0805
hea küsimus;11;0.0805
ära unustama;11;0.0805
ja onu;11;0.0805
mis üldse;11;0.0805
et vana;11;0.0805
see aitama;11;0.0805
sina laskma;11;0.0805
kõva lugu;11;0.0805
esimene armastus;11;0.0805
jutt roheline;10;0.0732
roheline stuudio;10;0.0732
ka natukene;10;0.0732
ja suur;10;0.0732
mingi teema;10;0.0732
ja teadma;10;0.0732
rääkima inimene;10;0.0732
mina kindlasti;10;0.0732
tulema uus;10;0.0732
järgmine päev;10;0.0732
sina nõus;10;0.0732
sina tooma;10;0.0732
olema lugu;10;0.0732
olema tekkima;10;0.0732
kes tegelikult;10;0.0732
olema onu;10;0.0732
ei pakkuma;10;0.0732
tegema koostöö;10;0.0732
kui ütlema;10;0.0732
õige koht;10;0.0732
et paluma;10;0.0732
olema tohutult;10;0.0732
see lõpuks;10;0.0732
