ngram;count;freq_per_60_min
mis juhtus;14;0.3242
ja eesti;14;0.3242
kaks null;14;0.3242
kuu aega;14;0.3242
on ütleme;14;0.3242
mitu aastat;14;0.3242
kas eesti;14;0.3242
on muutunud;14;0.3242
ma võtsin;14;0.3242
ka hästi;14;0.3242
ole tegelikult;14;0.3242
omal ajal;14;0.3242
et hea;14;0.3242
sa üldse;14;0.3242
sa tunned;14;0.3242
on raske;14;0.3242
oleks hea;14;0.3242
on väike;14;0.3242
kolm aastat;14;0.3242
ei tunne;14;0.3242
väga äge;13;0.3011
sa rääkisid;13;0.3011
suur osa;13;0.3011
see annab;13;0.3011
ühe korra;13;0.3011
hea näide;13;0.3011
siis no;13;0.3011
üks suur;13;0.3011
ei käi;13;0.3011
ma lugesin;13;0.3011
see uus;13;0.3011
on täis;13;0.3011
just täpselt;13;0.3011
veel kord;13;0.3011
siis lõpuks;13;0.3011
ka eesti;13;0.3011
järgmine aasta;13;0.3011
kui kaua;13;0.3011
küsimus number;13;0.3011
sa annad;13;0.3011
ma aru;13;0.3011
siis ütleme;13;0.3011
sellel hetkel;13;0.3011
viis aastat;13;0.3011
te teate;13;0.3011
päris huvitav;13;0.3011
edasi anda;13;0.3011
sa oskad;13;0.3011
nagu aru;13;0.3011
ei tööta;13;0.3011
ei näinud;13;0.3011
paljud inimesed;13;0.3011
ole võimalik;13;0.3011
selle teema;13;0.3011
jah ütleme;13;0.3011
100 protsenti;13;0.3011
seda saadet;13;0.3011
niisugune tunne;13;0.3011
ole mõtet;13;0.3011
on armastus;13;0.3011
10 aastat;12;0.2779
me panime;12;0.2779
et kaks;12;0.2779
nagu veits;12;0.2779
seda filmi;12;0.2779
väga meeldib;12;0.2779
et esimene;12;0.2779
mis tegelikult;12;0.2779
kaks päeva;12;0.2779
ei kuula;12;0.2779
üks päev;12;0.2779
kui inimesed;12;0.2779
et kindlasti;12;0.2779
oma elu;12;0.2779
kes tahavad;12;0.2779
on terve;12;0.2779
on küsimus;12;0.2779
ma pakun;12;0.2779
see näitab;12;0.2779
on kolm;12;0.2779
aga okei;12;0.2779
aasta lõpus;12;0.2779
on parem;12;0.2779
ja absoluutselt;12;0.2779
on oluline;12;0.2779
või tähendab;12;0.2779
noh ongi;12;0.2779
nagu ongi;12;0.2779
on uus;12;0.2779
nii kaugele;12;0.2779
on jumala;12;0.2779
sa kirjutad;12;0.2779
päeva lõpuks;12;0.2779
need kaks;12;0.2779
ja vaadata;12;0.2779
selle nii-öelda;12;0.2779
see töötab;12;0.2779
20 aastat;12;0.2779
hästi suur;12;0.2779
väga põnev;12;0.2779
siis näiteks;12;0.2779
et elu;12;0.2779
saanud aru;12;0.2779
ja inimesed;12;0.2779
et paljud;12;0.2779
sina arvad;12;0.2779
oli hästi;12;0.2779
see õige;12;0.2779
teist korda;12;0.2779
nagu täiega;12;0.2779
nagu esimene;12;0.2779
paar aastat;12;0.2779
ka vaata;12;0.2779
see mees;12;0.2779
kokku puutunud;12;0.2779
uus aasta;12;0.2779
päikseline päev;12;0.2779
tund aega;11;0.2548
siin saates;11;0.2548
kui suur;11;0.2548
võib-olla natuke;11;0.2548
ja näiteks;11;0.2548
see üldse;11;0.2548
ja üldse;11;0.2548
ei võitnud;11;0.2548
ei tundu;11;0.2548
ma ostsin;11;0.2548
väga tähtis;11;0.2548
hakkasin mõtlema;11;0.2548
see eesti;11;0.2548
ma toon;11;0.2548
ei kuule;11;0.2548
on tore;11;0.2548
on kõva;11;0.2548
need vanad;11;0.2548
uue aasta;11;0.2548
tuleb lihtsalt;11;0.2548
et asjad;11;0.2548
seal ongi;11;0.2548
kaks korda;11;0.2548
on natukene;11;0.2548
seda eesti;11;0.2548
müts maha;11;0.2548
niisugune lugu;11;0.2548
nagu näiteks;11;0.2548
võiks öelda;11;0.2548
ma tundsin;11;0.2548
15 aastat;11;0.2548
et põhimõtteliselt;11;0.2548
noh nii-öelda;11;0.2548
see tunne;11;0.2548
järgmine lugu;11;0.2548
üks kaks;11;0.2548
sama asja;11;0.2548
siis põhimõtteliselt;11;0.2548
me paneme;11;0.2548
ei juhtu;11;0.2548
enne rääkisime;11;0.2548
see idee;11;0.2548
on samamoodi;11;0.2548
nagu eesti;11;0.2548
inimeste koja;11;0.2548
seda teemat;11;0.2548
siin eestis;11;0.2548
ta räägib;11;0.2548
see tekitab;11;0.2548
siis mõtlesin;11;0.2548
ei jää;11;0.2548
vaid lihtsalt;11;0.2548
see maailm;11;0.2548
eelmine kord;11;0.2548
no lihtsalt;11;0.2548
õige asi;11;0.2548
tahtsin küsida;11;0.2548
kes tahab;11;0.2548
ja onu;11;0.2548
ja värki;11;0.2548
ei maga;11;0.2548
kõva lugu;11;0.2548
selle projekti;11;0.2548
halb tunne;11;0.2548
jutud rohelises;10;0.2316
rohelises stuudios;10;0.2316
ka natukene;10;0.2316
kõik inimesed;10;0.2316
ja huvitav;10;0.2316
järgmine päev;10;0.2316
kes tegelikult;10;0.2316
oma tööd;10;0.2316
oli täpselt;10;0.2316
on vähe;10;0.2316
sa küsid;10;0.2316
mulle tundus;10;0.2316
no tegelikult;10;0.2316
on siiamaani;10;0.2316
õigesti aru;10;0.2316
on väga-väga;10;0.2316
ühes kohas;10;0.2316
eesti keelt;10;0.2316
et võtame;10;0.2316
ei absoluutselt;10;0.2316
mis mõttes;10;0.2316
sa loed;10;0.2316
on jõudnud;10;0.2316
no põhimõtteliselt;10;0.2316
väga selgelt;10;0.2316
ei maksa;10;0.2316
kui hästi;10;0.2316
see mäng;10;0.2316
järgmine kord;10;0.2316
tiim estonia;10;0.2316
nii kõva;10;0.2316
võin öelda;10;0.2316
ole hea;10;0.2316
väga õige;10;0.2316
ei jõudnud;10;0.2316
et esiteks;10;0.2316
ja okei;10;0.2316
ja räägime;10;0.2316
ja kuule;10;0.2316
tere õhtust;10;0.2316
teine inimene;10;0.2316
sulle meeldib;10;0.2316
või lihtsalt;10;0.2316
ja samamoodi;10;0.2316
see vend;10;0.2316
nagu näha;10;0.2316
on suhteliselt;10;0.2316
selle nimel;10;0.2316
see olukord;10;0.2316
siis tekib;10;0.2316
see võimalus;10;0.2316
ta ongi;10;0.2316
ta tahab;10;0.2316
inimeste kojas;10;0.2316
